"Step","bolivia-ACPPowerModel-h96-2024-05-18T17:06:09.485 - metrics/training_loss","bolivia-ACPPowerModel-h96-2024-05-18T17:06:09.485 - metrics/training_loss__MIN","bolivia-ACPPowerModel-h96-2024-05-18T17:06:09.485 - metrics/training_loss__MAX"
"1","953031.1196883018","953031.1196883018","953031.1196883018"
"3","765077.773894433","765077.773894433","765077.773894433"
"5","683821.7264553659","683821.7264553659","683821.7264553659"
"7","627944.533956093","627944.533956093","627944.533956093"
"9","608317.4448014654","608317.4448014654","608317.4448014654"
"11","547928.7311876639","547928.7311876639","547928.7311876639"
"13","488465.4753682024","488465.4753682024","488465.4753682024"
"15","491633.79595076747","491633.79595076747","491633.79595076747"
"17","503115.00165755587","503115.00165755587","503115.00165755587"
"19","472608.68856020627","472608.68856020627","472608.68856020627"
"21","473230.72279349575","473230.72279349575","473230.72279349575"
"23","463990.6791252298","463990.6791252298","463990.6791252298"
"25","452856.8244117226","452856.8244117226","452856.8244117226"
"27","441061.7507219246","441061.7507219246","441061.7507219246"
"29","434230.23244507605","434230.23244507605","434230.23244507605"
"31","413393.61150208383","413393.61150208383","413393.61150208383"
"33","413025.2419997438","413025.2419997438","413025.2419997438"
"35","404867.32974517584","404867.32974517584","404867.32974517584"
"37","397837.0460647246","397837.0460647246","397837.0460647246"
"39","402317.6090574936","402317.6090574936","402317.6090574936"
"41","386848.6128719385","386848.6128719385","386848.6128719385"
"43","389536.4960293574","389536.4960293574","389536.4960293574"
"45","386426.9721537124","386426.9721537124","386426.9721537124"
"47","384751.5885567938","384751.5885567938","384751.5885567938"
"49","389552.3273068619","389552.3273068619","389552.3273068619"
"51","372290.5612865728","372290.5612865728","372290.5612865728"
"53","381229.68563757755","381229.68563757755","381229.68563757755"
"55","386780.87603906746","386780.87603906746","386780.87603906746"
"57","378186.7924374096","378186.7924374096","378186.7924374096"
"59","383598.0963096729","383598.0963096729","383598.0963096729"
"61","381762.5145314345","381762.5145314345","381762.5145314345"
